loading data...
487339 lines
sampling 1000 sentences and computing ['bias', 'subjectivity', 'vader', 'flesch-kincaid']...
collected features: (487336, 4)
+----------------------------+--------+--------------+--------+----------------+
|         sentences          |  bias  | subjectivity | vader  | flesch-kincaid |
| s s i e l ...."            |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| anyone able to help me out | 0.046  | 0.479        | 0.632  | 4.400          |
| with my question ( above)  |        |              |        |                |
| ? i think ntfs-3g is what  |        |              |        |                |
| you want to deal with ntfs |        |              |        |                |
| volumes yep - i'm familiar |        |              |        |                |
| with ntfs-3g  i have used  |        |              |        |                |
| it in the past but had     |        |              |        |                |
| issues .... i would        |        |              |        |                |
| imagine that the latest    |        |              |        |                |
| release should be fine ?   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| what faxing service should | 0.053  | 0.533        | 0.735  | 4              |
| i use ? i am looking for a |        |              |        |                |
| free fax service that i    |        |              |        |                |
| can view in linux >>       |        |              |        |                |
| **unknown** chuckyp thanks |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how do i check which       | 0.311  | 0.600        | 0.898  | 1.300          |
| **unknown** is in use on a |        |              |        |                |
| system via ssh ? use lspci |        |              |        |                |
| -vv yes :) that is the     |        |              |        |                |
| correct driver thanks alot |        |              |        |                |
| :d                         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi guys  i want to have a  | 0.501  | 0.760        | 0.928  | 5.600          |
| nice interface is kubuntu  |        |              |        |                |
| a good one to get ? is     |        |              |        |                |
| there good theme for       |        |              |        |                |
| ubuntu ? is kubuntu a them |        |              |        |                |
| ? theme what is diff       |        |              |        |                |
| kubuntu and ubuntu or      |        |              |        |                |
| xbuntu or edubuntu kubuntu |        |              |        |                |
| uses the kde desktop       |        |              |        |                |
| environment . ubuntu use   |        |              |        |                |
| gnome  xbuntu uses xfce    |        |              |        |                |
| and edubuntu is for        |        |              |        |                |
| education in theory  yes . |        |              |        |                |
| in practice  not really .  |        |              |        |                |
| **unknown** ill read that  |        |              |        |                |
| book                       |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i just like to edit images | 0.414  | 0.614        | 0.978  | 6.800          |
| but i dont like gimps      |        |              |        |                |
| **unknown** don't come     |        |              |        |                |
| here and complain about    |        |              |        |                |
| free software ok ? it 's   |        |              |        |                |
| open source  which means   |        |              |        |                |
| you are welcome to help    |        |              |        |                |
| build a better interface . |        |              |        |                |
| i wasnt complaining  i was |        |              |        |                |
| just looking for a better  |        |              |        |                |
| program                    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| ubuntu 6.06 lts  binary    | 0.139  | 0            | 0.382  | 10.300         |
| and both those             |        |              |        |                |
| repositories i mentioned   |        |              |        |                |
| apt-cache search aircrack  |        |              |        |                |
| doesn't find anything . do |        |              |        |                |
| you have the universe and  |        |              |        |                |
| multiverse repositories    |        |              |        |                |
| added                      |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how can i find which       | -0.711 | 0.272        | -0.621 | 21.600         |
| device is my external      |        |              |        |                |
| harddrive how can i find   |        |              |        |                |
| out in the command line    |        |              |        |                |
| sudo fdisk -l thanks i am  |        |              |        |                |
| having trouble mounting an |        |              |        |                |
| external harddrive using   |        |              |        |                |
| for extra space so i can   |        |              |        |                |
| use file sharing on it i   |        |              |        |                |
| did it last time but i     |        |              |        |                |
| dont know what im doing    |        |              |        |                |
| wrong mounting for reading |        |              |        |                |
| and writing or mounting    |        |              |        |                |
| like samba ? mounting like |        |              |        |                |
| samba so you can add       |        |              |        |                |
| delete browse and so on i  |        |              |        |                |
| have the same problem      |        |              |        |                |
| still not solved has to do |        |              |        |                |
| with how samba is          |        |              |        |                |
| configured  but it is      |        |              |        |                |
| beyond me lol i had it i   |        |              |        |                |
| really did until an        |        |              |        |                |
| upgrade messed everything  |        |              |        |                |
| up sucks                   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| where can i find the email | -0.327 | 0.285        | 0      | 4.400          |
| header for emails my       |        |              |        |                |
| server is sending out ?    |        |              |        |                |
| should be part of your     |        |              |        |                |
| mails actually ) what do   |        |              |        |                |
| you mean ? i'm not         |        |              |        |                |
| receiving the mail sent    |        |              |        |                |
| out ( so i cant check the  |        |              |        |                |
| headers on the receiving   |        |              |        |                |
| end ) your last question   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| ubuntu refuses to boot     | 0.087  | 0.438        | -0.402 | 6.800          |
| wether i choose to install |        |              |        |                |
| or run from live cd . it   |        |              |        |                |
| 's not the cd cause it     |        |              |        |                |
| boots on my other pc . any |        |              |        |                |
| ideas ? reset the bios to  |        |              |        |                |
| default the cd also has a  |        |              |        |                |
| memory test and check cd   |        |              |        |                |
| for defects run both of    |        |              |        |                |
| those after trying bios    |        |              |        |                |
| reset i ran both of those  |        |              |        |                |
| i will try reseting the    |        |              |        |                |
| bios                       |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| have any of you guys       | 0.727  | 0            | 0.287  | 9.200          |
| succesfully installed      |        |              |        |                |
| vmware workstation on      |        |              |        |                |
| ubuntu ? i have installed  |        |              |        |                |
| workstation did you have   |        |              |        |                |
| any problems with it ?     |        |              |        |                |
| works like a dream you     |        |              |        |                |
| have to recompile the      |        |              |        |                |
| modules at every kernel    |        |              |        |                |
| upgrade  though            |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| when i watch embedded hd   | 0.165  | 0.518        | 0.570  | 4              |
| videos oon vimeo.com like  |        |              |        |                |
| youtube in fullscreen      |        |              |        |                |
| everything starts to lagg  |        |              |        |                |
| the sound and the picture  |        |              |        |                |
| i dont have that problem   |        |              |        |                |
| when watchgin videos from  |        |              |        |                |
| my harddisk you running    |        |              |        |                |
| compiz ? yes  i do thats   |        |              |        |                |
| why  compiz screws lots of |        |              |        |                |
| stuff up ok i'll try 64bit |        |              |        |                |
| flash is a pain too what   |        |              |        |                |
| spec is your pc ? maybe    |        |              |        |                |
| theres a thing with 4gb    |        |              |        |                |
| ram . ive seen some apps   |        |              |        |                |
| ave issues with certain    |        |              |        |                |
| ram amounts can i fix this |        |              |        |                |
| per software or should i   |        |              |        |                |
| remove a 2 gb **unknown**  |        |              |        |                |
| -- ? ) id have a look      |        |              |        |                |
| around  what browser are   |        |              |        |                |
| you using ? firefox what   |        |              |        |                |
| flash plugin you using ?   |        |              |        |                |
| -nonfree i also tried      |        |              |        |                |
| gnash  but didnt work at   |        |              |        |                |
| all                        |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| says enter here            | 0.515  | 0.492        | 0.740  | 7.200          |
| **unknown** it make        |        |              |        |                |
| depends can xfs be         |        |              |        |                |
| converted to reiserfs4 on  |        |              |        |                |
| a running machine ? is it  |        |              |        |                |
| a option during install ?  |        |              |        |                |
| i ask because i'm getting  |        |              |        |                |
| ready to reinstall dont    |        |              |        |                |
| use it if you want compat  |        |              |        |                |
| with other systems if you  |        |              |        |                |
| want sharing and so on     |        |              |        |                |
| your not going to see any  |        |              |        |                |
| diff on desktop ststem     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "anyone can point me to    | 0.316  | 0.519        | 0.986  | 9.900          |
| any good gnome programming |        |              |        |                |
| books ? : **unknown** and  |        |              |        |                |
| looks for stuff on gtk     |        |              |        |                |
| **unknown** : well i know  |        |              |        |                |
| a little bit about c++     |        |              |        |                |
| its the gnome specific     |        |              |        |                |
| libs usage that i'm trying |        |              |        |                |
| to find out :p you need to |        |              |        |                |
| learn the system language  |        |              |        |                |
| first that would be c++    |        |              |        |                |
| and then anything you can  |        |              |        |                |
| on gtk+ cause thats the    |        |              |        |                |
| frame ork most commonly    |        |              |        |                |
| used in gnome : i went to  |        |              |        |                |
| gnome.org and saw "" gtk+  |        |              |        |                |
| / gnome application        |        |              |        |                |
| development "". are there  |        |              |        |                |
| any better or newer books  |        |              |        |                |
| that you can recommend ?   |        |              |        |                |
| ... im not aware of many   |        |              |        |                |
| development books for      |        |              |        |                |
| **unknown** stuff : right  |        |              |        |                |
| ... thanks anyway : what   |        |              |        |                |
| are you wanting to         |        |              |        |                |
| accomplish any how : i     |        |              |        |                |
| like to learn how to       |        |              |        |                |
| convert a program from sdl |        |              |        |                |
| to gnome is all : a        |        |              |        |                |
| smallish game : there is   |        |              |        |                |
| this an old game called    |        |              |        |                |
| netwalk  which runs fine   |        |              |        |                |
| under sdl when compiled in |        |              |        |                |
| ubuntu . i just want to    |        |              |        |                |
| learn to convert it into   |        |              |        |                |
| gnome  since there is a    |        |              |        |                |
| kde based netwalk in       |        |              |        |                |
| kubuntu . : what dev       |        |              |        |                |
| skills you got that you    |        |              |        |                |
| are good with to work with |        |              |        |                |
| : just as an exercise . i  |        |              |        |                |
| already know c and c++ .   |        |              |        |                |
| did some programming under |        |              |        |                |
| wind0ze and such if your   |        |              |        |                |
| just looking for a frame   |        |              |        |                |
| work to convert it to your |        |              |        |                |
| going to hav to learn gtk  |        |              |        |                |
| and if you looking for a   |        |              |        |                |
| more updated solution to   |        |              |        |                |
| sdl your gonna have to     |        |              |        |                |
| learn opengl : i wish you  |        |              |        |                |
| could point me to some     |        |              |        |                |
| books on gtk+ and gnome    |        |              |        |                |
| for reference purposes hit |        |              |        |                |
| barns and noble and search |        |              |        |                |
| these is litterly only 4   |        |              |        |                |
| books on the subject       |        |              |        |                |
| **unknown** word press     |        |              |        |                |
| normally does good job"    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i did something similar :  | -0.053 | 0.367        | 0      | 13.800         |
| minimal+xorg+lxdm ( not    |        |              |        |                |
| lxde ) + chromium need to  |        |              |        |                |
| look into lxdm vs lxde (   |        |              |        |                |
| whatever that is ) vs slim |        |              |        |                |
| lxdm is a display manager  |        |              |        |                |
| ( for lxde)  but pulls in  |        |              |        |                |
| just a very lean de ( not  |        |              |        |                |
| the whole lxde )           |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| **unknown** : where do i   | -0.214 | 0.300        | 0      | 2.500          |
| get xchat ? in terminal    |        |              |        |                |
| type sudo apt-get install  |        |              |        |                |
| xchat i think its done     |        |              |        |                |
| installing .... what do i  |        |              |        |                |
| type next ? do i close it  |        |              |        |                |
| ? how do i know where the  |        |              |        |                |
| xchat is located ?         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| what 's the launch parties | 0.520  | 0.494        | 0.937  | 1.300          |
| irc ? does the dvd version |        |              |        |                |
| have more drivers ?.. or   |        |              |        |                |
| is it just more software ? |        |              |        |                |
| does anyone know if it 's  |        |              |        |                |
| wise ( or even safe ) to   |        |              |        |                |
| upgrade my 6.10 edgy ?...  |        |              |        |                |
| does anyone think it will  |        |              |        |                |
| be totally fine ?... i     |        |              |        |                |
| have taken a long time to  |        |              |        |                |
| setup ubuntu the way i     |        |              |        |                |
| want .. i don't want to    |        |              |        |                |
| ruin it now . do u really  |        |              |        |                |
| need 7.04 not really i     |        |              |        |                |
| guess                      |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hey all . is vim-full the  | 0.127  | 0.688        | 0.520  | 3.300          |
| only vim package that has  |        |              |        |                |
| syntax highlighting        |        |              |        |                |
| enabled ? no do you know   |        |              |        |                |
| which others have it ?     |        |              |        |                |
| vim-full is a lot more     |        |              |        |                |
| than i need . do you want  |        |              |        |                |
| to use vim outside of the  |        |              |        |                |
| terminal ? ie as a window  |        |              |        |                |
| in x ? no  i'm just using  |        |              |        |                |
| it over putty ssh . i'm    |        |              |        |                |
| pretty sure vim-nox is     |        |              |        |                |
| sufficient i believe i     |        |              |        |                |
| have vim-nox installed .   |        |              |        |                |
| hm .                       |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| by the way  people beagle  | -0.300 | 0.536        | 0.214  | 1.700          |
| is in hoary backports i am |        |              |        |                |
| using it right now . yes   |        |              |        |                |
| but it crashes _all_ the   |        |              |        |                |
| time . i guess so          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hey all im having a        | 0.967  | 0.600        | 0.782  | 4.800          |
| desktop problem ... hoping |        |              |        |                |
| someone can help well we   |        |              |        |                |
| don't know what your       |        |              |        |                |
| problem is did you upgrade |        |              |        |                |
| from dapper ? any luck ?   |        |              |        |                |
| try this : **unknown** if  |        |              |        |                |
| it works  please update    |        |              |        |                |
| bug @ : **unknown** i got  |        |              |        |                |
| it to work .               |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi  trying to migrate my   | -0.183 | 0.327        | -0.125 | 5.600          |
| ubuntu installation to a   |        |              |        |                |
| bigger drive  and having   |        |              |        |                |
| trouble updating grub . it |        |              |        |                |
| keeps mounting my old      |        |              |        |                |
| drive ( now the 2nd drive  |        |              |        |                |
| ) as / - what do i need to |        |              |        |                |
| update to make the main    |        |              |        |                |
| partition in the new drive |        |              |        |                |
| / ? ( tried changing the   |        |              |        |                |
| uuid assigned as root in   |        |              |        |                |
| menu . lst to /dev/sda2    |        |              |        |                |
| but didn't work ) did you  |        |              |        |                |
| run ' **unknown** i read   |        |              |        |                |
| the man pages for it and   |        |              |        |                |
| thought that wouldn't help |        |              |        |                |
| . it sounded like a tool   |        |              |        |                |
| i'd use when  say i        |        |              |        |                |
| upgraded the kernel in the |        |              |        |                |
| boot part                  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "ok  now i'm getting       | 0.235  | 0.667        | 0.936  | 19.600         |
| issues with mdadm without  |        |              |        |                |
| the "" i doubt those stats |        |              |        |                |
| but opera is faster than   |        |              |        |                |
| ff ( before we get         |        |              |        |                |
| offtopic ) :) now i'm      |        |              |        |                |
| getting all kinds of       |        |              |        |                |
| errors when i run sudo     |        |              |        |                |
| apt-get upgrade or sudo    |        |              |        |                |
| apt-get -f install i know  |        |              |        |                |
| opera is faster than ff    |        |              |        |                |
| but their both better then |        |              |        |                |
| ie"                        |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| what is standard ftp again | -0.001 | 0            | 0.487  | 0.900          |
| ... 21 ? 20 and 21 sudo -i |        |              |        |                |
| is safer never did that    |        |              |        |                |
| ... whats thedifference ?  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i just have seen your      | 0.135  | 0.550        | 0.077  | 22.400         |
| testing repository  have a |        |              |        |                |
| question ask away only if  |        |              |        |                |
| you have a repository with |        |              |        |                |
| w32codecs enabled there    |        |              |        |                |
| are a few others the link  |        |              |        |                |
| to the skype package you   |        |              |        |                |
| gave today seems not to    |        |              |        |                |
| work  is it still there    |        |              |        |                |
| could you pls give me a    |        |              |        |                |
| correct url to your skype  |        |              |        |                |
| package                    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| ". **unknown** **unknown** | 0.177  | 0.627        | 0.599  | 5.200          |
| : #define **unknown** "".  |        |              |        |                |
| **unknown** "" ok  was     |        |              |        |                |
| just making sure ubuntu    |        |              |        |                |
| was't runnig custom code   |        |              |        |                |
| or something that 's just  |        |              |        |                |
| the settings i am told     |        |              |        |                |
| that it should be in .     |        |              |        |                |
| **unknown** but that       |        |              |        |                |
| folder doesn't exist  do i |        |              |        |                |
| just need to create it ?"  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| **unknown** : or i use     | 0.252  | 0.557        | 0.987  | 15.400         |
| xubuntu : it looks like    |        |              |        |                |
| its a gnome thing what ?   |        |              |        |                |
| you wont be able to run    |        |              |        |                |
| compiz on sis . glxgears   |        |              |        |                |
| means absolutely nothing   |        |              |        |                |
| so there is no solution ?  |        |              |        |                |
| my advice would be to get  |        |              |        |                |
| a radeon card i dont have  |        |              |        |                |
| the mondey lint01 : the    |        |              |        |                |
| driver must support glx_ex |        |              |        |                |
| t_texture_from_pixmap in   |        |              |        |                |
| order for compiz to work   |        |              |        |                |
| what sould i looking for   |        |              |        |                |
| in the glxinfo ? glx_ext_t |        |              |        |                |
| exture_from_pixmap the     |        |              |        |                |
| linux kernel is flexible   |        |              |        |                |
| and great but it still     |        |              |        |                |
| cant make hardware perform |        |              |        |                |
| miracles i mean thats just |        |              |        |                |
| simple opengl work that    |        |              |        |                |
| the card have to do  dont  |        |              |        |                |
| understand why it has such |        |              |        |                |
| a lot of problems or why   |        |              |        |                |
| there is not a alternative |        |              |        |                |
| effekt as i said  the      |        |              |        |                |
| driver must provide glx_ex |        |              |        |                |
| t_texture_from_pixmap      |        |              |        |                |
| extension for compiz to    |        |              |        |                |
| work so there is not a     |        |              |        |                |
| lite version or lite       |        |              |        |                |
| settings for compiz ?      |        |              |        |                |
| there is simple-ccsm for   |        |              |        |                |
| light settings but that    |        |              |        |                |
| will do nothing without    |        |              |        |                |
| compiz actually running .  |        |              |        |                |
| there is no light compiz   |        |              |        |                |
| your driver needs          |        |              |        |                |
| **unknown** sounds         |        |              |        |                |
| physical not software      |        |              |        |                |
| based yes  the driver      |        |              |        |                |
| doesnt support **unknown** |        |              |        |                |
| because the hardware       |        |              |        |                |
| cannot do it i had xp      |        |              |        |                |
| before ubuntu and i had    |        |              |        |                |
| some desktop effects here  |        |              |        |                |
| with 3d effects like the   |        |              |        |                |
| desktop box and stuff like |        |              |        |                |
| that  thats why its hard   |        |              |        |                |
| to belive that there is    |        |              |        |                |
| not another solution :(    |        |              |        |                |
| compiz does not run on     |        |              |        |                |
| windows . you must have a  |        |              |        |                |
| driver that supports       |        |              |        |                |
| **unknown** and obviously  |        |              |        |                |
| a card that can do it in   |        |              |        |                |
| the first place whatever   |        |              |        |                |
| windows had was not compiz |        |              |        |                |
| and it didnt require this  |        |              |        |                |
| opengl specification well  |        |              |        |                |
| actually its a driver spec |        |              |        |                |
| but anyway its an opengl   |        |              |        |                |
| driver extension           |        |              |        |                |
| specification and sis just |        |              |        |                |
| cant do it there are 3d    |        |              |        |                |
| **unknown** like blender   |        |              |        |                |
| on other opensource stuff  |        |              |        |                |
| i can use them and do      |        |              |        |                |
| fancy realtime things with |        |              |        |                |
| it that doesnt mean        |        |              |        |                |
| anything . just because    |        |              |        |                |
| you have direct rendering  |        |              |        |                |
| doesnt mean the card can   |        |              |        |                |
| do **unknown** all of the  |        |              |        |                |
| sudden it is a special     |        |              |        |                |
| spec  written by           |        |              |        |                |
| **unknown**  the original  |        |              |        |                |
| compiz creator  with the   |        |              |        |                |
| help of some nvidia devs   |        |              |        |                |
| specifically for compiz    |        |              |        |                |
| **unknown**                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i have ubuntu 10.04 which  | 0.152  | 0.550        | 0.625  | 4.800          |
| is lts  any good reasons   |        |              |        |                |
| not to upgrade to 10.10 my |        |              |        |                |
| system was hanging         |        |              |        |                |
| freezing randomly in 10.10 |        |              |        |                |
| i have a lenovo laptop     |        |              |        |                |
| with intel graphics and    |        |              |        |                |
| core2duo processor try     |        |              |        |                |
| manual shutdown through    |        |              |        |                |
| command prompt see man     |        |              |        |                |
| shutdown in terminal i see |        |              |        |                |
| i have a dell studio xps   |        |              |        |                |
| laptop                     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| where could i ask my       | -0.032 | 0.400        | 0.533  | 6              |
| performance related        |        |              |        |                |
| question on ubuntu-server  |        |              |        |                |
| ? maybe run transmission   |        |              |        |                |
| with idle i/o priority ?   |        |              |        |                |
| ionice -c 3 -p `pidof      |        |              |        |                |
| **unknown** thanks for the |        |              |        |                |
| pointer  and i hadn't      |        |              |        |                |
| thought of io  doesn't it  |        |              |        |                |
| influence the load average |        |              |        |                |
| btw ?                      |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| :( i'm trying to convince  | 0.076  | 0.649        | 0.297  | 2.900          |
| a computer i've got here   |        |              |        |                |
| to boot my kubuntu edgy    |        |              |        |                |
| install dvd -- it doesn't  |        |              |        |                |
| want to . i can boot damn  |        |              |        |                |
| small linux from the       |        |              |        |                |
| adjacent cdrom drive fine  |        |              |        |                |
| but it doesn't want to     |        |              |        |                |
| boot the dvd . u need to   |        |              |        |                |
| set your bios to boot the  |        |              |        |                |
| dvd my bios is set . i've  |        |              |        |                |
| also tried smart boot      |        |              |        |                |
| manager  but it won't boot |        |              |        |                |
| the dvd either . do boot   |        |              |        |                |
| floppies exist for (       |        |              |        |                |
| **unknown** ?              |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| is there a way to bring my | -0.016 | 0.317        | 0.202  | 3.300          |
| monitor out of powersave   |        |              |        |                |
| mode remotely ? use xset   |        |              |        |                |
| xset dpms force on should  |        |              |        |                |
| work . no luck  the screen |        |              |        |                |
| stays black                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| make and make install seem | -0.105 | 0.338        | -0.294 | 11.800         |
| to have created the no-ip  |        |              |        |                |
| executable no-ip ? its a   |        |              |        |                |
| dns server of sorts allows |        |              |        |                |
| you to get your ip without |        |              |        |                |
| a domain name . for        |        |              |        |                |
| something - yes  eg : xorg |        |              |        |                |
| is a new version  with     |        |              |        |                |
| compiz along side it       |        |              |        |                |
| other stuff  eg : apache - |        |              |        |                |
| no2 primary concern  is    |        |              |        |                |
| vmware and openvpn i       |        |              |        |                |
| wouldn't have confidence   |        |              |        |                |
| with vmware with it being  |        |              |        |                |
| a 3rd party product vmware |        |              |        |                |
| works like a charm  but it |        |              |        |                |
| did have to go through     |        |              |        |                |
| hell to make it work so i  |        |              |        |                |
| wouldn't put money on      |        |              |        |                |
| stability on 7.04 -> 7.10  |        |              |        |                |
| update personal preference |        |              |        |                |
| is always instrall from    |        |              |        |                |
| scratch if you can afford  |        |              |        |                |
| the time depends what you  |        |              |        |                |
| want to look for : well    |        |              |        |                |
| it stopped working :)      |        |              |        |                |
| define stopped working     |        |              |        |                |
| sometimes it mounts on     |        |              |        |                |
| boot  other times it does  |        |              |        |                |
| not is it a physical       |        |              |        |                |
| internal hard disk  or an  |        |              |        |                |
| external / usb one it is   |        |              |        |                |
| an internal sataii disk    |        |              |        |                |
| used as a data folder what |        |              |        |                |
| file system is on it  is   |        |              |        |                |
| it a linux file system or  |        |              |        |                |
| a windows **unknown** one  |        |              |        |                |
| ? ext3 is it in your fstab |        |              |        |                |
| ? is it in your /etc/fstab |        |              |        |                |
| file check if it is        |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "its not loading any fkn   | 0.178  | 0.602        | 0.928  | 4.800          |
| web pages either           |        |              |        |                |
| **unknown** : ~/desktop$   |        |              |        |                |
| **unknown** . bin bash :   |        |              |        |                |
| **unknown** . bin :        |        |              |        |                |
| command not found slayton  |        |              |        |                |
| **unknown** : ~/desktop$   |        |              |        |                |
| **unknown** . bin bash :   |        |              |        |                |
| **unknown** . bin :        |        |              |        |                |
| command not found can      |        |              |        |                |
| anyone tell me how to open |        |              |        |                |
| a . bin file ? pls you     |        |              |        |                |
| want to execute it ?       |        |              |        |                |
| **unknown** : i tried to   |        |              |        |                |
| execute it  nothing        |        |              |        |                |
| happened "" nothing ""?    |        |              |        |                |
| how did you execute it ?   |        |              |        |                |
| sure  apt-get install      |        |              |        |                |
| firestarter or be more     |        |              |        |                |
| specific :) do you have 2  |        |              |        |                |
| network interfaces  one    |        |              |        |                |
| connected to the internet  |        |              |        |                |
| and one to the lan ? no    |        |              |        |                |
| both are connected to a    |        |              |        |                |
